1,Commissions,6
2,Volumes,6
3,Transactions (Ghana),6
4,Transactions(Other Corridors),6
5,Increase Transaction Volume,6
6,Increase Partner Transaction,6
7,"Achieve new opportunities per partner i.e wallet, cash pick up, bank termination, airtime",7
8,Increase FX gains per partner per portfolio,7
9,Develop and nurture African border opportunities from each partner,7
10,Develop new countries per partner within portfolio,7
11,Improve corridor traffic outside Ghana,7
12,Dormant partner re-activation,7
13,Revenue per customer/per staff,8
14,Customer Satisfaction Index,9
15,Maintain Reversal threshold of,14
16,"Off-the-Job Training (Classroom based, eLearning, etc…)",10
17,On-the-Job training (manager/supervisor facilitated learning),10
18,Internal service quality,12
19,Embed Corporate Values(CV)[Demonstrate pratical application of CV (re internal customer)],12
20,Attempt Renovation/innovation ,13
21,Sign on new Payment clients/partners,6
22,Increase agent network & customer base,7
23,Develop and nurture Wallet (mobile money) per region,7
24,Retention,12
