1,budget,1
2,budget,2
3,budget,3
4,budget,4
5,budget,5
6,30% Monthly,6
7,Min of 3 opportunities,7
8,30% increase of previous months performance,8
9,Min of 3 per month,9
10,Min of 2 per month,10
11,30% increase of previous months performance,11
12,3 per month,12
13,2 per month,13
14,budget,14
15,Promoter score (out of 10),15
16,0.5% of overall partner transaction monthly (input number of reversals),16
17,Participate in not less than 3 required training programmes. (technical trainings & eLearning),17
18,Number of people who have completed all 3 parts of transfer of learning (ToL) plus the assessment (technical training),17
19,Full Completion of ToL Log(Part1-3),18
20,100% of direct reports must be performance coached by manager/supervisor (at least once in the review period),18
21,Team briefings conducted in the review period (at least once a month),19
22,"One-on-one 30 minutes (min.) interaction with employee (100%) [For the exploration of performance, welfare, employee recognition, resources, equipment provision and job designs issues]",19
23,At least 2 concrete opportunities of how CV have been applied,20
24,Executed Innovation/Renovations,21
